Est-ce un sport collectif,Est-ce un sport ou on affronte un seul joueur,Est-ce un sport dangereux,Est-ce un sport de combat,Est-ce un sport violent,Est-ce un sport des jeux olympiques,Est-ce un sport ou il faut affronter d'autres equipes,Est-ce un sport ou il faut marquer des points,Est-ce un sport d'agilite,Est-ce un sport ou il faut realiser des figures,Est-ce un sport d'attaque,Est-ce un sport qui se joue en equipe de plus de 5 joueurs,Est-ce un sport d'origine americaine,Est-ce un sport d'origine asiatique,Est-ce un sport d'origine anglaise,Est-ce un sport datant de l'antiquite,Est-ce un sport se jouant avec des accessoires,Est-ce un sport se jouant avec une balle,Est-ce un sport se jouant avec une raquette,Est-ce un sport se jouant avec une arme,Est-ce un sport avec un panier,Est-ce un sport necessitant des protections,Est-ce un sport necessitant un velo,Est-ce un sport necessitant une plance,Est-ce un sport se jouant a lexterieur,Est-ce un sport de montagne,Est-ce un sport se jouant sur une pelouse,Est-ce un sport d'hiver,Est-ce un sport de rue,Est-ce un sport se jouant sur terre battue,Est-ce un sport se jouant en salle,Est-ce un sport aquatique,Est-ce un sport aerien,class
no,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,gymnastique
no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,marathon
no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,deltaplane
no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,parachute
no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,equitation
yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,handball
no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,probably_yes,no,no,krav-maga
no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,paintball
no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,wingsuit
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,plonge
yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,water-polo
no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,karate
no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,course-a-pied
no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,cyclisme-sur-piste
no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,plonge-sous-marine
